ISBN,Book_Title,Book_Author,Year_Of_Publication,Publisher
0671868713,And Never Let Her Go : Thomas Capano: The Deadly Seducer,Ann Rule,2000,Pocket
0345313860,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986,Ballantine Books
0345369947,The Mummy or Ramses the Damned,Anne Rice,1991,Ballantine Books
0345353625,Her Mother's Daughter,Marilyn French,1990,Ballantine Books
006017143X,The Night Listener,Armistead Maupin,2000,HarperCollins Publishers
0805056491,Organizing from the Inside Out,Julie Morgenstern,1998,Henry Holt &amp; Company
0679401377,The Hellfire Club,Peter Straub,1996,Random House Inc
1562827049,"The Diary of Jack the Ripper/the Discovery, the Investigation, the Debate",Jack,1993,Hyperion Books
0385306032,Vanished,Danielle Steel,1993,Delacorte Press
0821772953,The Morning After,Lisa Jackson,2004,Zebra Books
0345379454,Missing Susan,SHARYN MCCRUMB,1992,Ballantine Books
0553576925,Hiding in the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books
0743206053,Kitchen Privileges : A Memoir,Mary Higgins Clark,2002,Simon &amp; Schuster
0307001164,101 Dalmatians,Justine Korman,1996,Golden Books Publishing Company
0439061644,"The First Journey (Animorphs. Alternamorphs, 1)",K. A. Applegate,1999,Apple Signature (Scholastic)
0812519655,Sacred Ground,Mercedes Lackey,1995,Tor Books
0812524853,Burning Water (Burning Water),Mercedes Lackey,1992,Tor Books
0449211770,The Tightrope Walker,Dorothy Gilman,1997,Fawcett Books
193072229X,MoveOn's 50 Ways to Love Your Country: How to Find Your Political Voice and Become a Catalyst for Change,Moveon,2004,Inner Ocean Publishing
1400077826,Cold Mountain (MTI) (Vintage Contemporaries),CHARLES FRAZIER,2003,Vintage
0312312628,Out of the Deep I Cry : A Clare Fergusson/Russ Van Alstyne Mystery,Julia Spencer-Fleming,2004,St. Martin's Minotaur
0446394521,Daisy Fay and the Miracle Man,Fannie Flagg,1992,Warner Books
0590021117,Little House On the Prairie,Laura Ingall Wilder,0,Scholastic Inc
068484267X,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner
0553578693,The Next Accident,LISA GARDNER,2002,Bantam
0380709260,Socks (Cleary Reissue),Beverly Cleary,1990,HarperTrophy
0312986769,In the Bleak Midwinter (A Rev. Clare Ferguson Mystery),Julia Spencer-Fleming,2003,St. Martin's Minotaur
0345413377,"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN,2001,Del Rey
0345413369,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,1998,Del Rey
0679893105,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1998,Knopf Books for Young Readers
0345369068,"If Ever I Return, Pretty Peggy-O",Sharyn McCrumb,1991,Fawcett Books
0451184718,The Rosewood Casket,Sharyn McCrumb,1997,Signet Book
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial
080411952X,The Unsung Hero,Suzanne Brockmann,2000,Ivy Books
0060558865,Ella Enchanted (rack),Gail Carson Levine,2004,Avon
0767912918,Passing for Thin : Losing Half My Weight and Finding My Self,FRANCES KUFFEL,2004,Broadway
0553298860,Bloodlines (Dog Lover's Mysteries),Susan Conant,1994,Bantam Books
0385335679,Kissing in Manhattan,DAVID SCHICKLER,2002,Delta
0440122090,Echoes,Maeve Binchy,1989,Dell
0671525832,Someone to Watch Over Me : A Novel,Judith McNaught,2003,Pocket
0553279572,The Toynbee Convector,Ray Bradbury,1989,Spectra Books
0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial
0679450432,Dark Lady,Richard North Patterson,1999,Alfred A. Knopf
0821775863,The Future Scrolls,Fern Michaels,2003,Zebra Books
0821770209,About Face,Fern Michaels,2003,Zebra Books
0553562819,Globalhead,Bruce Sterling,1994,Spectra Books
0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
0446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,Warner Books
0425179672,The River King,Alice Hoffman,2001,Berkley Publishing Group
0061042943,Final Appeal,Lisa Scottoline,1994,HarperTorch
0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper)
006015781X,Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,1987,Harpercollins
0743444167,New Cardiff,Charles Webb,2002,Washington Square Press
0618231617,Almost: A Novel,Elizabeth Benedict,2002,Mariner Books
0425174484,"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic",Martha Beck,2000,Berkley Publishing Group
0140185216,On the Road (Penguin 20th Century Classics),Jack Kerouac,1998,Penguin USA (Paper)
0684717255,I And Thou,Martin Buber,1971,Free Press
0486272745,The Prince (Dover Thrift Editions),NiccolÃ² Machiavelli,1992,Dover Publications
0062507249,Becoming a Man : Half a Life Story,Paul Monette,1993,HarperSanFrancisco
0684801221,OLD MAN AND THE SEA,Ernest Hemingway,1995,Scribner
0060083298,The Dominant Blonde,Alisa Kwitney,2002,Avon Trade
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books
0743213831,America the Beautiful: A Novel,Moon Unit Zappa,2001,Touchstone
0061080519,The Mist and the Magic (Harper Monogram),Susan Wiggs,1993,Harper Mass Market Paperbacks
0142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books
0316735027,The True and Outstanding Adventures of the Hunt Sisters: A Novel,Elisabeth Robinson,2004,"Little, Brown"
193156146X,The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage Publishing
015600710X,Strange Fits of Passion: A Novel,Anita Shreve,1999,Harvest Books
0062517856,The Monk Downstairs: A Novel,Tim Farrington,2002,HarperSanFrancisco
0425169626,Waking the Dead,Scott Spencer,2000,Berkley Publishing Group
0449207757,Davita's Harp,Chaim Potok,1990,Fawcett Books
0449245691,The Book of Lights,Chaim Potok,1997,Fawcett Books
2253004022,Regain,Jean Giono,1987,LGF
2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc
225300670X,A l'Ouest rien de nouveau,Erich Maria Remarque,1973,LGF
2266084372,Pourquoi j'ai mangÃ?Â© mon pÃ?Â¨re,Lewis,2000,Pocket
2070362388,Ravage,Rene Barjavel,0,Gallimard French
2253007102,Les Fleurs Du Mal,C. Baudelaire,1972,Livre De Poche French
3492207006,Die Entdeckung der Langsamkeit.,Sten Nadolny,1987,Piper
0140620427,Sense and Sensibility (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd
3596144434,Der gemietete Mann.,Hera Lind,1999,"Fischer (Tb.), Frankfurt"
3442724686,Der Gott der kleinen Dinge.,Arundhati Roy,1999,btb
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
0446525502,The Rescue,Nicholas Sparks,2000,Warner Books
0385500769,A Map of the World,Jane Hamilton,1999,Doubleday Books
0399147012,Edge of Danger,Jack Higgins,2001,Putnam Publishing Group
0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books
0688180639,Vinegar Hill (Oprah's Book Club (Hardcover)),A. Manette Ansay,1999,HarperCollins
0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown"
0425184129,Big Trouble,Dave Barry,2002,Berkley Publishing Group
0151001006,Snow Falling on Cedars,David Guterson,1994,Harcourt
0385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday
0679442790,The Reader,Bernhard Schlink,1997,Random House
0609605925,Angel Falls,KRISTIN HANNAH,2000,Crown
0060191929,The Saving Graces : A Novel,Patricia Gaffney,1999,HarperCollins
0743206045,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster
0684864843,The Vineyard : A Novel,Barbara Delinsky,2000,Simon &amp; Schuster
0684867818,The Looking Glass : A Novel (The Locket Series),Richard Paul Evans,1999,Simon &amp; Schuster
0743406176,If Only It Were True,Marc Levy,2000,Atria
0679603352,The Cider House Rules: A Novel (Modern Library),John Irving,1999,Modern Library
0679410430,Lolita (Everyman's Library (Cloth)),VLADIMIR NABOKOV,1993,Everyman's Library
0446523569,Message in a Bottle,Nicholas Sparks,1998,Warner Books
0671042556,Blackbird: A Childhood Lost and Found,Jennifer Lauck,2000,Atria
0679450440,Protect and Defend,Richard North Patterson,2000,Random House Inc
0140107649,Blue Heaven (Contemporary American Fiction S.),Joe Keenan,1988,Penguin Books
0609606727,Julie and Romeo,Jeanne Ray,2000,Harmony
0446527793,The Guardian,Nicholas Sparks,2003,Warner Books
0446531332,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books
1570717257,Man and Boy,Tony Parsons,2001,Sourcebooks Landmark
0060192631,One Heart,Jane McCafferty,1999,HarperCollins Publishers
0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books
0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey
039304016X,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company
0399147128,The Villa,Nora Roberts,2001,Putnam Publishing Group
0670031046,In This Mountain,Jan Karon,2002,Viking Books
0394574745,"All the Pretty Horses (Border Trilogy, Vol 1)",Cormac McCarthy,1992,Alfred A. Knopf
0316969443,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown"
0743230051,He Sees You When You're Sleeping : A Novel,Mary Higgins Clark,2001,Scribner
0316693200,2nd Chance,James Patterson,2002,"Little, Brown"
0684868911,The Carousel : A Novel,Richard Paul Evans,2000,Simon &amp; Schuster
0399148582,You Cannot Be Serious,John McEnroe,2002,Putnam Publishing Group
0684864320,LAKE NEWS : A Novel,Barbara Delinsky,1999,Simon &amp; Schuster
0345428900,Out of the Blue,Sally Mandel,2000,Ballantine Books
0451176812,Voice of the Eagle,Linda Lay Shuler,1993,Signet Book
0671525794,The Kingdom by the Sea: A Journey Around Great Britain,Paul Theroux,1984,Pocket Books
0446602086,The Proud and the Free,Janet Dailey,1995,Warner Vision
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
2253043974,Chronique d'une mort annoncÃ?Â©e,Gabriel Garcia Marquez,1987,LGF
0140253580,Therapy,David Lodge,1996,Penguin Putnam~trade
0349101779,The Wasp Factory,Iain Banks,0,Abacus
0743222229,George W. Bushisms : The Slate Book of The Accidental Wit and Wisdom of our 43rd President,Jacob Weisberg,2001,Fireside
0140292918,"Of Mice and Men (Steinbeck ""Essentials"")",John Steinbeck,2001,Penguin Books Ltd
2253063339,Les Fourmis,Bernard Werber,2002,LGF
0767908473,The Sorcerer's Companion: A Guide to the Magical World of Harry Potter,ALLAN ZOLA KRONZEK,2001,Broadway
0140622063,Scottish Folk and Fairy Tales (Penguin Popular Classics),Gordon Jarvie,1997,Penguin Books Ltd
0747538069,The Adventures of Dougal,Eric Thompson,1998,Bloomsbury Publishing PLC
0375501347,Amy and Isabelle,Elizabeth Strout,1999,Random House Inc
0060927240,"Rule of the Bone : Novel, A",Russell Banks,1996,Perennial
0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
156341029X,Stone Butch Blues,Leslie Feinberg,1993,Firebrand Books
0060934719,stardust,Neil Gaiman,2001,Perennial
0962893862,Return to Isis,Jean Stewart,1992,Rising Tide Press (AZ)
1563410443,"Skin: Talking About Sex, Class &amp; Literature",Dorothy Allison,1994,Firebrand Books
1563899388,"Death: At Death's Door (Vertigo, Number 1)",Jill Thompson,2003,DC Comics
1563411148,The Second Coming of Curly Red,Jody Seay,1999,Firebrand Books
0553579681,Night Mares,Manda Scott,1999,Crimeline
0451181379,The Door to December,Dean R. Koontz,1994,Signet Book
0786889160,"No Shirt, No Shoes, No Problem!",Jeff Foxworthy,1997,Warner Books (Mm)
0345370740,The Scions of Shannara (Heritage of Shannara (Paperback)),Terry Brooks,1993,Del Rey Books
0553574167,"The Hutt Gambit (Star Wars: The Han Solo Trilogy, Vol. 2)",A. C. Crispin,1998,Bantam Books
0679801146,Alanna: The First Adventure (Song of the Lioness (Paperback)),Tamora Pierce,1989,Random House Children's Books
0446300101,"The Beans of Egypt, Maine",Carolyn Chute,1986,Warner Books
0425142485,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group
0451456548,Cold Iron,Melisa Michaels,1997,Roc
0786886463,A Density of Souls,Christopher Rice,2001,Miramax
0345395379,Slow River,Nicola Griffith,1996,Ballantine Books
0380788497,Changer,Jane Lindskold,1998,Eos
0345403339,Saving Grace,LEE SMITH,1996,Ballantine Books
038529929X,Hannibal,Thomas Harris,1999,Del Sol Press
1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
0345418778,Mostly Harmless,Douglas Adams,2000,Ballantine Books
0517201658,The Thorn Birds (Modern Classics),Colleen McCullough,1998,Wings
0743211383,Dreamcatcher,Stephen King,2001,Scribner
039914370X,Sudden Mischief (Spenser Mysteries (Hardcover)),Robert B. Parker,1998,Putnam Pub Group
0312977905,To Catch a Cat,Marian Babson,2002,St. Martin's Minotaur
0812521331,"People of the Wolf (The First North Americans series, Book 1)",W. Michael Gear,1992,Tor Books
0451205421,The Door to December,Dean R. Koontz,2002,Signet Book
0440218535,Smilla's Sense of Snow,Peter Hoeg,1997,Island
0449207595,The Grass Is Always Greener over the Septic Tank,Erma Bombeck,1988,Fawcett Books
0590897985,The Music of Dolphins (Apple Signature Edition),Karen Hesse,1998,Hyperion Books for Children
0064405052,The Magician's Nephew (Narnia),C. S. Lewis,1994,HarperTrophy
0152162577,Deep Wizardry: The Second Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
015216250X,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
0345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books
0440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf
349913358X,Das Schlampenbuch. ErzÃ?Â¤hlungen. ( neue frau).,Milena Moser,1993,Rowohlt Tb.
3404121686,Nacht Ã?Â¼ber den Wassern.,Ken Follett,1994,LÃ?Â¼bbe
3404118960,Die SÃ?Â¤ulen der Erde. Roman.,Ken Follett,1992,LÃ?Â¼bbe
0345356578,A Man Rides Through (Man Rides Through),Stephen Donaldson,1990,Del Rey Books
0345346971,Mirror of Her Dreams (Mordant's Need),STEPHEN R. DONALDSON,1987,Del Rey
0753804700,Reader,Bernhard Schlink,0,Phoenix Books
0451155750,The Dead Zone,Stephen King,2004,Signet Book
0786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,2002,Hyperion Press
0345428544,"Dark Tide I: Onslaught (Star Wars: The New Jedi Order, Book 2)",Michael A. Stackpole,2000,Del Rey Books
0671694049,LONG DARK TEA TIME OF THE SOUL,Douglas Adams,1990,Pocket
0449006557,Half Moon Street (Charlotte &amp; Thomas Pitt Novels (Paperback)),Anne Perry,2001,Ballantine Books
0373250339,A Minor Indiscretion (Red Dress Ink (Paperback)),Carol Matthews,2003,Red Dress Ink
0380820447,"For Better, for Worse: A Novel",Carole Matthews,2002,Avon Trade
0385497679,Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad,Jacqueline L. Tobin,2000,Anchor Pub
0451454243,The Forest House,Marion Zimmer Bradley,1995,Roc
039914563X,The Bear and the Dragon,Tom Clancy,2000,G. P. Putnam's Sons
0312853238,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1992,Tor Books
0425161722,Net Force,Tom Clancy,1999,Berkley Publishing Group
0385493800,The Testament,John Grisham,1999,Doubleday Books
067175145X,The Way Things Ought to Be,"Rush H., III Limbaugh",1992,Pocket Books
0440211727,A Time to Kill,JOHN GRISHAM,1992,Dell
0380002450,Awakening,Kate Chopin,1982,Avon
0425134350,Patriot Games,Tom Clancy,1992,Berkley Publishing Group
044661162X,Chasing the Dime,Michael Connelly,2003,Warner Books
0671742566,Tender Triumph (Sonnet Books),Judith McNaught,1991,Pocket
0515122408,The Cat Who Tailed a Thief,Lilian Jackson Braun,1998,Jove Books
0440222818,Guilt,John T. Lescroart,1998,Island
0451204050,On Secret Service,John Jakes,2001,Signet Book
038533334X,Charming Billy,Alice McDermott,1999,Delta
0449001954,Murder at the Library of Congress (Capital Crimes (Paperback)),Margaret Truman,2001,Fawcett Books
0345404777,No Safe Place,RICHARD NORTH PATTERSON,1999,Ballantine Books
0451185277,Thorns of Truth,Eileen Goudge,1999,Signet Book
0440224829,Granny Dan,DANIELLE STEEL,2000,"Random House, Inc."
0515134368,The Penwyth Curse,Catherine Coulter,2004,Jove Books
0380759497,Xanth 15: The Color of Her Panties,Piers Anthony,1992,Eos
0394578791,A Reporter's Life,WALTER CRONKITE,1996,Knopf
068983571X,Hound of the Baskervilles (Aladdin Classics),Sir Arthur Conan Doyle,2000,Aladdin
1551668785,Final Stand,Helen Myers,2002,Mira
0380817144,Lord of the Silent: A Novel of Suspense,Elizabeth Peters,2002,Avon
0553212583,Wuthering Heights,EMILY BRONTE,1983,Bantam
0446364762,The Stars Shine Down,Sidney Sheldon,1993,Warner Books
0425166619,Toxin,Robin Cook,1999,Berkley Publishing Group
0765341972,The Mothman Prophecies,John A. Keel,2002,Tor Books
0590514776,Meet the Stars of Buffy the Vampire Slayer,Stefanie Scott,1998,Scholastic
0064472779,All-American Girl,Meg Cabot,2003,HarperTrophy
0553581279,The Silver Metal Lover,Tanith Lee,1999,Spectra Books
0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
0312422156,Middlesex: A Novel,Jeffrey Eugenides,2003,Picador
0451524489,The Awakening and Selected Stories of Kate Chopin (Signet Classic),Kate Chopin,1995,Signet Book
0140065172,Ordinary People,Judith Guest,1993,Penguin Books
044022165X,The Rainmaker,JOHN GRISHAM,1996,Dell
0399143165,Toxin,Robin Cook,1998,Putnam Pub Group
0425124347,The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group
0312282990,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador
0425137945,Greygallows,Barbara Michaels,1993,Berkley Publishing Group
042512892X,Into the Darkness,Barbara Michaels,1996,Berkley Publishing Group
0425113892,Someone in the House,Barbara Michaels,1989,Berkley Publishing Group
0394820371,The Phantom Tollbooth,Norton Juster,1993,Yearling Books
0449134482,Dances With Wolves,Michael Blake,1990,Fawcett Books
0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
0812516826,Catnap : A Midnight Louie Mystery (A Midnight Louie Mystery),Carole Nelson Douglas,1993,Forge Books
0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey
0871137380,Black Hawk Down: A Story of Modern War,Mark Bowden,1999,Atlantic Monthly Press
0553568760,Natural Causes,Michael Palmer,1995,Bantam Books
034538184X,Degree of Guilt,Richard North Patterson,1995,Ballantine Books
